iter	Logloss
0	0.6628003315
1	0.6339029474
2	0.6070240538
3	0.5831581066
4	0.5634263324
5	0.5434437787
6	0.5253880647
7	0.508563753
8	0.4932022228
9	0.4790788088
10	0.4672702514
11	0.4554378011
12	0.4451715047
13	0.4345510578
14	0.4254851027
15	0.4166172536
16	0.4088504932
17	0.401497365
18	0.3948655734
19	0.3888188444
20	0.3832694921
21	0.3780248407
22	0.3722387983
23	0.3675811294
24	0.3636101512
25	0.3599920968
26	0.355902599
27	0.3527654629
28	0.3493528118
29	0.3466733999
30	0.343945045
31	0.341016163
32	0.338883281
33	0.3359831308
34	0.333507806
35	0.3312416457
36	0.3289300986
37	0.3268313933
38	0.3250669264
39	0.3230313998
40	0.3213729542
41	0.3200280772
42	0.3184696523
43	0.3163258505
44	0.3149892201
45	0.3133779406
46	0.3121763357
47	0.3109940909
48	0.3100294118
49	0.308669469
50	0.3074010289
51	0.3062560715
52	0.3049019771
53	0.303977229
54	0.303259761
55	0.3018556554
56	0.3004383862
57	0.299369894
58	0.2984590116
59	0.2977536636
60	0.2970913006
61	0.2962881137
62	0.295606796
63	0.2949990284
64	0.2944185895
65	0.293601754
66	0.2927734281
67	0.2916603055
68	0.2907172176
69	0.2899754501
70	0.2892350351
71	0.2883975186
72	0.2878704382
73	0.2871310179
74	0.2865820875
75	0.2861780322
76	0.2854874724
77	0.2848227433
78	0.2843922727
79	0.2837902599
80	0.2828577606
81	0.282274464
82	0.2816734323
83	0.2811862503
84	0.2802794588
85	0.2797664607
86	0.2792343134
87	0.2785137158
88	0.2778439606
89	0.2775025252
90	0.2768116438
91	0.2763197207
92	0.2759417118
93	0.2753915591
94	0.275032964
95	0.2745320667
96	0.2740566327
97	0.2735029605
98	0.2728533967
99	0.2724959061
100	0.2721393708
101	0.2716959658
102	0.271321266
103	0.270993001
104	0.2701504508
105	0.2698054221
106	0.2695279045
107	0.2691524845
108	0.2686224446
109	0.268323177
110	0.2679552752
111	0.2675950389
112	0.2673149041
113	0.2669282353
114	0.2664362727
115	0.2660370148
116	0.2653238942
117	0.2649685484
118	0.2645833769
119	0.2641938363
120	0.2636904216
121	0.2633194179
122	0.2629034333
123	0.2626904966
124	0.2623365463
125	0.2616641253
126	0.2612656997
127	0.2608904672
128	0.2603911334
129	0.2599558768
130	0.2597179498
131	0.2593425948
132	0.2587679148
133	0.2585225469
134	0.2581605303
135	0.2579725095
136	0.2577333324
137	0.2574280374
138	0.2570960373
139	0.256814404
140	0.256216487
141	0.2560166524
142	0.2555143269
143	0.2553665196
144	0.2549113147
145	0.2545831829
146	0.2543297992
147	0.2540962962
148	0.2538218893
149	0.2535637932
150	0.25324935
151	0.2529894516
152	0.2526887844
153	0.2525096164
154	0.2522631678
155	0.2519924229
156	0.2518233477
157	0.2514922828
158	0.251099862
159	0.2505158345
160	0.2501196065
161	0.2497400081
162	0.2494857393
163	0.2492943272
164	0.2491319077
165	0.2488563392
166	0.248475439
167	0.2483204177
168	0.2480894791
169	0.2477716608
170	0.2474663124
171	0.2471426339
172	0.2469300435
173	0.2467354045
174	0.2464234763
175	0.2462590048
176	0.2460542273
177	0.2457985414
178	0.2454301798
179	0.2452799741
180	0.2449723458
181	0.2447134294
182	0.2444175077
183	0.2441318385
184	0.2439704671
185	0.243703259
186	0.2435518385
187	0.2433228479
188	0.2431190424
189	0.2426786648
190	0.2423545495
191	0.2420168346
192	0.241824617
193	0.2415594789
194	0.2413714132
195	0.241188779
196	0.2410052974
197	0.2407816039
198	0.240462819
199	0.2401900288
200	0.2400419351
201	0.2396970537
202	0.2394288056
203	0.2392876125
204	0.2389405555
205	0.2387000371
206	0.2384530141
207	0.2383039981
208	0.2381638745
209	0.237853819
210	0.2375902169
211	0.237422724
212	0.2373053844
213	0.2371567589
214	0.2370141001
215	0.236714868
216	0.236496589
217	0.2362170153
218	0.2360659828
219	0.2358040259
220	0.2355586255
221	0.2351512955
222	0.235009209
223	0.2347349754
224	0.2346228091
225	0.2343111073
226	0.2340087732
227	0.2338606267
228	0.2333910678
229	0.2332357387
230	0.2330706509
231	0.2328404911
232	0.2326434264
233	0.2323026525
234	0.2321423467
235	0.2319098351
236	0.2317047582
237	0.2315947722
238	0.2314465606
239	0.2312798842
240	0.2309547414
241	0.2306204355
242	0.2304762079
243	0.230368028
244	0.2301611998
245	0.230015814
246	0.2297247691
247	0.2294057082
248	0.229200916
249	0.2290116112
250	0.2288563004
251	0.2286835638
252	0.2285022611
253	0.2283007304
254	0.2280312046
255	0.2279367905
256	0.2278290548
257	0.2276538594
258	0.2274832866
259	0.2272331318
260	0.227005038
261	0.2267885602
262	0.2265417988
263	0.2263677522
264	0.2261991674
265	0.2259467137
266	0.2258466905
267	0.225550359
268	0.2253979096
269	0.2250722246
270	0.2248315441
271	0.2247413572
272	0.2246460328
273	0.2244508916
274	0.2242460745
275	0.224117807
276	0.2239869878
277	0.2237298206
278	0.223606581
279	0.2234335479
280	0.2232807015
281	0.2229822638
282	0.2228712036
283	0.2227579691
284	0.2225357204
285	0.2223402466
286	0.2220834221
287	0.2218576818
288	0.2217094449
289	0.2215058782
290	0.2214096989
291	0.2212246482
292	0.2211143241
293	0.2209301958
294	0.2208467136
295	0.2205955279
296	0.2204313442
297	0.220283439
298	0.2200481626
299	0.2198948685
300	0.2197264881
301	0.2195734433
302	0.2193874517
303	0.2192880311
304	0.219083892
305	0.2188514313
306	0.2186658552
307	0.218314592
308	0.2180918508
309	0.2179859122
310	0.2178467056
311	0.2176362508
312	0.217469852
313	0.2173533095
314	0.2171855205
315	0.2168977486
316	0.2166335534
317	0.2165170229
318	0.2163765314
319	0.2162465923
320	0.2160165162
321	0.2158294966
322	0.2156919784
323	0.2155019903
324	0.2153278231
325	0.2151786281
326	0.2149747284
327	0.2147787384
328	0.2146521591
329	0.2142939521
330	0.2141784738
331	0.2137696685
332	0.2136525448
333	0.2133899986
334	0.2131933612
335	0.2129509894
336	0.212685211
337	0.21258483
338	0.2124870153
339	0.2121816232
340	0.2120026275
341	0.211759115
342	0.2114681286
343	0.2109971418
344	0.2106407915
345	0.2104531096
346	0.2102975097
347	0.2101003055
348	0.2099259628
349	0.2097616976
350	0.2096587036
351	0.2095232238
352	0.209333283
