iter	Passed	Remaining
0	10	10522
1	19	9563
2	29	9757
3	38	9693
4	48	9589
5	60	9946
6	71	10156
7	82	10255
8	92	10231
9	103	10267
10	113	10231
11	124	10224
12	134	10179
13	144	10200
14	155	10204
15	165	10191
16	176	10226
17	187	10248
18	198	10237
19	209	10251
20	220	10295
21	230	10254
22	243	10330
23	254	10330
24	264	10313
25	275	10311
26	286	10333
27	297	10342
28	308	10323
29	319	10333
30	330	10339
31	341	10332
32	352	10315
33	363	10322
34	373	10308
35	384	10301
36	396	10313
37	407	10312
38	419	10346
39	432	10369
40	443	10375
41	454	10368
42	465	10364
43	477	10367
44	488	10371
45	500	10379
46	512	10395
47	524	10406
48	535	10399
49	547	10396
50	558	10387
51	568	10362
52	579	10354
53	590	10347
54	601	10327
55	614	10350
56	625	10344
57	635	10323
58	647	10332
59	659	10338
60	671	10332
61	682	10320
62	693	10317
63	705	10316
64	716	10311
65	730	10332
66	741	10325
67	752	10308
68	763	10302
69	775	10304
70	787	10302
71	800	10314
72	814	10341
73	827	10353
74	839	10354
75	850	10345
76	862	10339
77	876	10358
78	889	10374
79	902	10375
80	914	10378
81	928	10396
82	941	10403
83	954	10405
84	966	10401
85	978	10401
86	991	10404
87	1004	10414
88	1019	10436
89	1031	10432
90	1043	10426
91	1056	10431
92	1070	10436
93	1082	10432
94	1093	10421
95	1107	10429
96	1120	10432
97	1134	10441
98	1148	10451
99	1160	10446
100	1174	10451
101	1187	10454
102	1202	10471
103	1215	10475
104	1230	10487
105	1244	10494
106	1257	10494
107	1270	10490
108	1293	10575
109	1317	10660
110	1334	10685
111	1350	10704
112	1366	10723
113	1382	10747
114	1398	10765
115	1415	10788
116	1433	10820
117	1450	10840
118	1468	10872
119	1486	10902
120	1503	10923
121	1523	10961
122	1541	10990
123	1557	11004
124	1573	11017
125	1589	11028
126	1605	11034
127	1624	11066
128	1649	11137
129	1669	11171
130	1686	11190
131	1702	11198
132	1720	11216
133	1740	11250
134	1757	11263
135	1773	11265
136	1794	11303
137	1818	11358
138	1839	11391
139	1858	11418
140	1876	11433
141	1893	11440
142	1911	11452
143	1931	11478
144	1950	11499
145	1965	11495
146	1979	11484
147	1992	11469
148	2006	11458
149	2019	11445
150	2034	11438
151	2049	11434
152	2063	11423
153	2078	11417
154	2092	11408
155	2106	11398
156	2120	11388
157	2136	11383
158	2149	11370
159	2163	11357
160	2177	11347
161	2190	11331
162	2204	11318
163	2217	11304
164	2231	11290
165	2245	11282
166	2260	11274
167	2274	11264
168	2288	11252
169	2302	11242
170	2317	11232
171	2332	11228
172	2347	11222
173	2362	11215
174	2375	11200
175	2389	11187
176	2403	11174
177	2417	11164
178	2432	11154
179	2446	11145
180	2461	11137
181	2476	11131
182	2490	11119
183	2505	11113
184	2520	11103
185	2536	11101
186	2553	11099
187	2570	11103
188	2586	11100
189	2601	11089
190	2617	11088
191	2633	11080
192	2646	11068
193	2662	11060
194	2675	11047
195	2690	11038
196	2706	11034
197	2725	11037
198	2740	11029
199	2755	11020
200	2769	11009
201	2784	10999
202	2799	10990
203	2812	10976
204	2828	10968
205	2843	10960
206	2857	10946
207	2870	10930
208	2883	10912
209	2897	10899
210	2910	10883
211	2924	10868
212	2936	10850
213	2949	10834
214	2963	10818
215	2976	10802
216	2988	10782
217	3000	10764
218	3014	10750
219	3028	10735
220	3040	10718
221	3054	10703
222	3066	10685
223	3080	10670
224	3092	10653
225	3106	10637
226	3121	10630
227	3135	10615
228	3149	10604
229	3166	10601
230	3180	10587
231	3194	10575
232	3208	10563
233	3224	10555
234	3238	10541
235	3251	10527
236	3265	10513
237	3280	10502
238	3293	10486
239	3310	10482
240	3325	10473
241	3340	10462
242	3353	10446
243	3366	10429
244	3379	10414
